Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA
Nota,"à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP."
Fonte,Cepea
Data,À vista R$,À vista US$
24/09/2014,"22,09","9,26"
25/09/2014,"22,11","9,10"
26/09/2014,"22,11","9,16"
29/09/2014,"22,16","9,04"
30/09/2014,"22,02","8,99"
01/10/2014,"21,78","8,77"
02/10/2014,"21,91","8,81"
03/10/2014,"21,98","8,89"
06/10/2014,"21,94","9,03"
07/10/2014,"21,79","9,06"
08/10/2014,"22,04","9,26"
09/10/2014,"22,07","9,24"
10/10/2014,"22,00","9,10"
13/10/2014,"22,39","9,37"
14/10/2014,"22,87","9,52"
15/10/2014,"22,78","9,34"
16/10/2014,"22,82","9,24"
17/10/2014,"23,74","9,75"
20/10/2014,"23,83","9,68"
21/10/2014,"24,57","9,93"
22/10/2014,"24,66","9,91"
23/10/2014,"24,96","9,95"
24/10/2014,"25,10","10,19"
27/10/2014,"25,37","10,04"
28/10/2014,"25,99","10,51"
29/10/2014,"26,17","10,62"
30/10/2014,"26,35","10,92"
31/10/2014,"26,21","10,60"
03/11/2014,"26,53","10,60"
04/11/2014,"26,44","10,54"
05/11/2014,"26,77","10,65"
06/11/2014,"26,58","10,42"
07/11/2014,"26,81","10,45"
10/11/2014,"26,93","10,54"
11/11/2014,"27,29","10,65"
12/11/2014,"27,77","10,85"
13/11/2014,"27,55","10,61"
14/11/2014,"27,84","10,73"
17/11/2014,"27,92","10,73"
18/11/2014,"28,58","11,04"
19/11/2014,"28,75","11,15"
20/11/2014,"28,40","11,04"
21/11/2014,"28,36","11,28"
24/11/2014,"28,69","11,25"
25/11/2014,"28,43","11,20"
26/11/2014,"28,07","11,21"
27/11/2014,"27,93","11,09"
28/11/2014,"27,52","10,72"
01/12/2014,"27,10","10,62"
02/12/2014,"26,76","10,40"
03/12/2014,"26,78","10,48"
04/12/2014,"26,71","10,33"
05/12/2014,"26,61","10,25"
08/12/2014,"26,69","10,22"
09/12/2014,"26,74","10,31"
10/12/2014,"26,95","10,32"
11/12/2014,"27,24","10,28"
12/12/2014,"27,44","10,32"
15/12/2014,"27,93","10,39"
16/12/2014,"28,11","10,26"
17/12/2014,"28,09","10,40"
18/12/2014,"28,40","10,70"
19/12/2014,"28,49","10,73"
22/12/2014,"28,54","10,72"
23/12/2014,"28,67","10,59"
26/12/2014,"28,66","10,71"
29/12/2014,"28,72","10,62"
30/12/2014,"28,75","10,83"
02/01/2015,"28,72","10,67"
05/01/2015,"28,55","10,51"
06/01/2015,"28,20","10,45"
07/01/2015,"28,10","10,38"
08/01/2015,"28,04","10,51"
09/01/2015,"27,95","10,59"
12/01/2015,"27,62","10,35"
13/01/2015,"27,60","10,48"
14/01/2015,"27,46","10,48"
15/01/2015,"27,48","10,43"
16/01/2015,"27,25","10,39"
19/01/2015,"27,23","10,27"
20/01/2015,"27,29","10,43"
21/01/2015,"27,10","10,40"
22/01/2015,"26,87","10,43"
23/01/2015,"26,79","10,38"
26/01/2015,"26,77","10,35"
27/01/2015,"26,62","10,35"
28/01/2015,"26,56","10,32"
29/01/2015,"26,62","10,21"
30/01/2015,"26,78","9,97"
02/02/2015,"26,85","9,90"
03/02/2015,"26,94","10,00"
04/02/2015,"27,13","9,88"
05/02/2015,"27,60","10,07"
06/02/2015,"27,65","9,97"
09/02/2015,"27,64","9,94"
10/02/2015,"27,62","9,76"
11/02/2015,"27,63","9,63"
12/02/2015,"27,72","9,79"
