Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA
Nota,"à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP."
Fonte,Cepea
Data,À vista R$,À vista US$
15/03/2017,"35,11","11,28"
16/03/2017,"35,01","11,22"
17/03/2017,"34,64","11,18"
20/03/2017,"34,32","11,18"
21/03/2017,"33,19","10,76"
22/03/2017,"32,80","10,60"
23/03/2017,"31,74","10,12"
24/03/2017,"31,63","10,18"
27/03/2017,"30,46","9,73"
28/03/2017,"30,42","9,68"
29/03/2017,"30,16","9,67"
30/03/2017,"30,27","9,65"
31/03/2017,"30,12","9,63"
03/04/2017,"29,39","9,44"
04/04/2017,"28,86","9,31"
05/04/2017,"28,44","9,16"
06/04/2017,"28,23","8,98"
07/04/2017,"28,14","8,92"
10/04/2017,"27,92","8,90"
11/04/2017,"27,51","8,73"
12/04/2017,"27,53","8,75"
13/04/2017,"27,80","8,84"
17/04/2017,"27,86","8,98"
18/04/2017,"28,56","9,15"
19/04/2017,"28,46","9,06"
20/04/2017,"28,60","9,07"
24/04/2017,"28,96","9,25"
25/04/2017,"28,52","9,05"
26/04/2017,"28,56","9,00"
27/04/2017,"28,23","8,89"
28/04/2017,"28,17","8,88"
02/05/2017,"27,91","8,85"
03/05/2017,"28,24","8,95"
04/05/2017,"28,51","8,95"
05/05/2017,"28,25","8,90"
08/05/2017,"28,22","8,83"
09/05/2017,"28,03","8,81"
10/05/2017,"28,15","8,89"
11/05/2017,"27,99","8,88"
12/05/2017,"28,09","8,99"
15/05/2017,"28,13","9,05"
16/05/2017,"27,88","9,00"
17/05/2017,"27,67","8,87"
18/05/2017,"27,80","8,22"
19/05/2017,"28,07","8,61"
22/05/2017,"27,88","8,50"
23/05/2017,"27,85","8,54"
24/05/2017,"27,60","8,42"
25/05/2017,"27,11","8,24"
26/05/2017,"27,23","8,33"
29/05/2017,"26,90","8,23"
30/05/2017,"26,82","8,22"
31/05/2017,"26,49","8,18"
01/06/2017,"26,52","8,16"
02/06/2017,"26,48","8,14"
05/06/2017,"26,61","8,09"
06/06/2017,"26,84","8,18"
07/06/2017,"26,79","8,18"
08/06/2017,"27,19","8,33"
09/06/2017,"27,35","8,33"
12/06/2017,"27,12","8,19"
13/06/2017,"27,25","8,25"
14/06/2017,"27,09","8,24"
16/06/2017,"27,11","8,25"
19/06/2017,"27,21","8,27"
20/06/2017,"27,24","8,17"
21/06/2017,"27,03","8,12"
22/06/2017,"26,84","8,06"
23/06/2017,"26,82","8,03"
26/06/2017,"26,39","7,99"
27/06/2017,"26,36","7,94"
28/06/2017,"26,23","7,98"
29/06/2017,"25,89","7,84"
30/06/2017,"25,49","7,70"
03/07/2017,"26,10","7,91"
04/07/2017,"26,25","7,94"
05/07/2017,"26,71","8,11"
06/07/2017,"26,66","8,08"
07/07/2017,"26,80","8,16"
10/07/2017,"26,86","8,24"
11/07/2017,"27,22","8,37"
12/07/2017,"27,05","8,44"
13/07/2017,"26,64","8,29"
14/07/2017,"26,26","8,25"
17/07/2017,"26,38","8,29"
18/07/2017,"26,66","8,45"
19/07/2017,"26,77","8,51"
20/07/2017,"26,63","8,51"
21/07/2017,"26,41","8,42"
24/07/2017,"25,92","8,24"
25/07/2017,"25,77","8,13"
26/07/2017,"25,49","8,12"
27/07/2017,"25,55","8,09"
28/07/2017,"25,40","8,11"
31/07/2017,"25,44","8,16"
01/08/2017,"25,36","8,12"
02/08/2017,"25,31","8,11"
03/08/2017,"25,20","8,09"
04/08/2017,"25,76","8,24"
07/08/2017,"26,00","8,33"
08/08/2017,"25,88","8,28"
09/08/2017,"25,99","8,25"
10/08/2017,"26,14","8,25"
11/08/2017,"26,33","8,31"
14/08/2017,"26,48","8,30"
15/08/2017,"27,05","8,52"
16/08/2017,"27,48","8,72"
17/08/2017,"27,64","8,69"
18/08/2017,"27,96","8,89"
21/08/2017,"27,83","8,78"
22/08/2017,"27,57","8,71"
23/08/2017,"27,42","8,74"
24/08/2017,"26,98","8,58"
25/08/2017,"26,94","8,54"
28/08/2017,"26,95","8,53"
29/08/2017,"26,80","8,48"
30/08/2017,"26,93","8,52"
31/08/2017,"27,30","8,67"
01/09/2017,"27,35","8,70"
04/09/2017,"27,93","8,91"
05/09/2017,"27,95","8,97"
06/09/2017,"28,09","9,05"
08/09/2017,"28,13","9,10"
11/09/2017,"28,39","9,16"
12/09/2017,"28,36","9,06"
13/09/2017,"28,45","9,09"
14/09/2017,"28,83","9,25"
15/09/2017,"28,86","9,27"
18/09/2017,"28,98","9,25"
19/09/2017,"29,09","9,27"
20/09/2017,"29,98","9,57"
21/09/2017,"30,41","9,67"
22/09/2017,"30,64","9,80"
25/09/2017,"30,51","9,67"
26/09/2017,"30,17","9,52"
27/09/2017,"30,05","9,42"
28/09/2017,"29,94","9,41"
29/09/2017,"30,04","9,49"
02/10/2017,"30,39","9,63"
03/10/2017,"29,71","9,44"
04/10/2017,"29,59","9,45"
05/10/2017,"29,66","9,40"
06/10/2017,"30,39","9,63"
09/10/2017,"30,83","9,68"
10/10/2017,"31,17","9,81"
11/10/2017,"31,29","9,88"
13/10/2017,"31,27","9,92"
16/10/2017,"31,71","10,01"
17/10/2017,"31,81","10,04"
18/10/2017,"31,75","10,03"
19/10/2017,"31,44","9,90"
20/10/2017,"31,73","9,96"
23/10/2017,"32,04","9,94"
24/10/2017,"32,02","9,83"
25/10/2017,"32,16","9,92"
26/10/2017,"31,47","9,61"
27/10/2017,"31,76","9,79"
30/10/2017,"31,99","9,76"
31/10/2017,"32,23","9,84"
01/11/2017,"32,89","10,07"
03/11/2017,"32,87","9,96"
06/11/2017,"32,11","9,85"
07/11/2017,"32,70","9,97"
08/11/2017,"32,70","10,03"
09/11/2017,"32,52","9,99"
10/11/2017,"32,68","9,97"
13/11/2017,"32,32","9,81"
14/11/2017,"32,26","9,76"
16/11/2017,"32,24","9,84"
17/11/2017,"32,05","9,83"
20/11/2017,"31,76","9,74"
21/11/2017,"31,38","9,66"
22/11/2017,"30,98","9,58"
23/11/2017,"30,71","9,53"
24/11/2017,"30,86","9,56"
27/11/2017,"30,56","9,50"
28/11/2017,"30,32","9,44"
29/11/2017,"30,50","9,40"
30/11/2017,"30,59","9,34"
01/12/2017,"30,93","9,49"
04/12/2017,"31,21","9,62"
05/12/2017,"31,31","9,69"
06/12/2017,"31,75","9,80"
07/12/2017,"31,64","9,62"
08/12/2017,"31,58","9,57"
11/12/2017,"31,66","9,60"
12/12/2017,"31,84","9,57"
13/12/2017,"32,34","9,77"
14/12/2017,"32,04","9,59"
15/12/2017,"32,36","9,79"
18/12/2017,"32,56","9,88"
19/12/2017,"33,08","10,02"
20/12/2017,"33,29","10,12"
21/12/2017,"33,32","10,07"
22/12/2017,"33,26","9,99"
26/12/2017,"33,53","10,11"
27/12/2017,"33,71","10,18"
28/12/2017,"33,77","10,21"
